Time,B,Elapsed_Time,TouchTag
32:22.0,195,3.233039,3
32:22.3,195.25,3.236882,3
32:22.5,195.5,3.236882,3
32:22.8,195.75,3.230477,3
32:23.0,196,3.240726,3
32:23.2,196.25,3.23432,3
32:23.5,196.5,3.235601,3
32:23.8,196.75,3.23432,3
32:24.0,197,3.235601,3
32:24.3,197.25,3.23432,3
32:24.5,197.5,3.236882,3
32:24.8,197.75,3.236882,3
32:25.0,198,3.236882,3
32:25.2,198.25,3.233039,3
32:25.5,198.5,3.236882,3
32:25.7,198.75,3.242007,3
32:26.0,199,3.238163,3
32:26.3,199.25,3.236882,3
32:26.5,199.5,3.238163,3
32:26.8,199.75,3.236882,3
32:27.0,200,3.238163,3
32:27.3,200.25,3.236882,3
32:27.5,200.5,3.256099,3
32:27.7,200.75,3.247131,3
32:28.0,201,3.24585,3
32:28.3,201.25,3.239445,3
32:28.5,201.5,3.235601,3
32:28.8,201.75,3.242007,3
32:29.0,202,3.240726,3
32:29.2,202.25,3.239445,3
32:29.5,202.5,3.231758,3
32:29.8,202.75,3.238163,3
32:30.0,203,3.238163,3
32:30.3,203.25,3.23432,3
32:30.5,203.5,3.23432,3
32:30.8,203.75,3.23432,3
32:31.0,204,3.243288,3
32:31.3,204.25,3.242007,3
32:31.5,204.5,3.235601,3
32:31.8,204.75,3.240726,3
32:32.0,205,3.240726,3
32:32.3,205.25,3.235601,3
32:32.5,205.5,3.23432,3
32:32.7,205.75,3.239445,3
32:33.0,206,3.240726,3
32:33.3,206.25,3.236882,3
32:33.5,206.5,3.242007,3
32:33.8,206.75,3.240726,3
32:34.0,207,3.247131,3
32:34.3,207.25,3.239445,3
32:34.5,207.5,3.235601,3
32:34.7,207.75,3.242007,3
32:35.0,208,3.239445,3
32:35.2,208.25,3.239445,3
32:35.5,208.5,3.239445,3
32:35.8,208.75,3.242007,3
32:36.0,209,3.239445,3
32:36.3,209.25,3.244569,3
32:36.5,209.5,3.235601,3
32:36.8,209.75,3.24585,3
32:37.0,210,3.244569,3
32:37.2,210.25,3.243288,3
