Time,Measurement,TouchTag,SubjectID
15:24:22.250000,6.126197,0,A1
15:24:22.500000,5.963498,0,A1
15:24:22.750000,5.81489,0,A1
15:24:23,5.671985,0,A1
15:24:23.250000,5.555405,0,A1
15:24:23.500000,5.473415,0,A1
15:24:23.750000,5.413203,0,A1
15:24:24,5.38295,0,A1
15:24:24.250000,5.352203,0,A1
15:24:24.500000,5.3278620000000005,0,A1
15:24:24.750000,5.30224,0,A1
15:24:25,5.291992,0,A1
15:24:25.250000,5.270213,0,A1
15:24:25.500000,5.262526,0,A1
15:24:25.750000,5.244591000000002,0,A1
15:24:26,5.2394669999999985,0,A1
15:24:26.250000,5.235623,0,A1
15:24:26.500000,5.218969,0,A1
15:24:26.750000,5.20872,0,A1
15:24:27,5.189504,0,A1
15:24:27.250000,5.184379,0,A1
15:24:27.500000,5.1728489999999985,0,A1
15:24:27.750000,5.158757,0,A1
15:24:28,5.144665,0,A1
15:24:28.250000,5.134416000000001,0,A1
15:24:28.500000,5.128011,0,A1
15:24:28.750000,5.112638,0,A1
15:24:29,5.102389,0,A1
15:24:29.250000,5.101108,0,A1
15:24:29.500000,5.097264,0,A1
15:24:29.750000,5.08061,0,A1
15:24:30,5.079329,0,A1
15:24:30.250000,5.0690800000000005,0,A1
15:24:30.500000,5.0652370000000015,0,A1
15:24:30.750000,5.054988,0,A1
15:24:31,5.056269,0,A1
15:24:31.250000,5.053707,0,A1
15:24:31.500000,5.0524260000000005,0,A1
15:24:31.750000,5.048583,0,A1
15:24:32,5.042177,0,A1
15:24:32.250000,5.034491,0,A1
15:24:32.500000,5.019117,0,A1
15:24:32.750000,5.016555,0,A1
15:24:33,5.010149,0,A1
15:24:33.250000,5.002463,0,A1
15:24:33.500000,4.98709,0,A1
15:24:33.750000,4.988371,0,A1
15:24:34,4.981966000000001,0,A1
15:24:34.250000,4.978122,0,A1
15:24:34.500000,4.97556,0,A1
15:24:34.750000,4.979403,0,A1
15:24:35,5.075486,0,A1
15:24:35.250000,5.363733,0,A1
15:24:35.500000,5.76728,0,A1
15:24:35.750000,6.077306,0,A1
15:24:36,6.567474000000002,0,A1
15:24:36.250000,6.780839,0,A1
15:24:36.500000,6.8167100000000005,0,A1
15:24:36.750000,6.756498,0,A1
15:24:37,6.643762,0,A1
15:24:37.250000,6.504122,0,A1
15:24:37.500000,6.351671,0,A1
15:24:37.750000,6.217155,0,A1
15:24:38,6.09417,0,A1
15:24:38.250000,6.003211,0,A1
15:24:38.500000,5.928908,0,A1
15:24:38.750000,5.87254,0,A1
15:24:39,5.843653,0,A1
15:24:39.250000,5.800095,0,A1
15:24:39.500000,5.777035,0,A1
15:24:39.750000,5.755257,0,A1
15:24:40,5.7411650000000005,0,A1
15:24:40.250000,5.721948,0,A1
15:24:40.500000,5.704013,0,A1
15:24:40.750000,5.695045,0,A1
15:24:41,5.680953,0,A1
15:24:41.250000,5.669423,0,A1
15:24:41.500000,5.661736,0,A1
15:24:41.750000,5.652769,0,A1
15:24:42,5.633552,0,A1
15:24:42.250000,5.627147,0,A1
15:24:42.500000,5.622022,0,A1
15:24:42.750000,5.602806,0,A1
15:24:43,5.604087,0,A1
15:24:43.250000,5.5912760000000015,0,A1
15:24:43.500000,5.593838,0,A1
15:24:43.750000,5.5861519999999985,0,A1
15:24:44,5.581027,0,A1
15:24:44.250000,5.574622,0,A1
15:24:44.500000,5.579746,0,A1
15:24:44.750000,5.575903,0,A1
15:24:45,5.565654,0,A1
15:24:45.250000,5.556686,0,A1
15:24:45.500000,5.557967,0,A1
15:24:45.750000,5.556686,0,A1
15:24:46,5.563092,0,A1
15:24:46.250000,5.5515620000000006,0,A1
15:24:46.500000,5.556686,0,A1
15:24:46.750000,5.5489999999999995,0,A1
15:24:47,5.556686,0,A1
15:24:47.250000,5.5515620000000006,0,A1
15:24:47.500000,5.538751,0,A1
15:24:47.750000,5.5489999999999995,0,A1
15:24:48,5.5515620000000006,0,A1
15:24:48.250000,5.559248,0,A1
15:24:48.500000,5.546437,0,A1
15:24:48.750000,5.53747,0,A1
15:24:49,5.538751,0,A1
15:24:49.250000,5.5323449999999985,0,A1
15:24:49.500000,5.529783,0,A1
15:24:49.750000,5.5323449999999985,0,A1
15:24:50,5.541313,0,A1
15:24:50.250000,5.528502,0,A1
15:24:50.500000,5.531064,0,A1
15:24:50.750000,5.538751,0,A1
15:24:51,5.546437,0,A1
15:24:51.250000,5.541313,0,A1
15:24:51.500000,5.536189,0,A1
15:24:51.750000,5.546437,0,A1
15:24:52,5.5323449999999985,0,A1
15:24:52.250000,5.533627,0,A1
15:24:52.500000,5.528502,0,A1
15:24:52.750000,5.527221,0,A1
15:24:53,5.5220970000000005,0,A1
15:24:53.250000,5.518253,0,A1
15:24:53.500000,5.518253,0,A1
15:24:53.750000,5.50288,0,A1
15:24:54,5.504161,0,A1
15:24:54.250000,5.495193,0,A1
15:24:54.500000,5.484945,0,A1
15:24:54.750000,5.481102,0,A1
15:24:55,5.484945,0,A1
15:24:55.250000,5.481102,0,A1
15:24:55.500000,5.483664,0,A1
15:24:55.750000,5.484945,0,A1
15:24:56,5.472134,0,A1
15:24:56.250000,5.474696,0,A1
15:24:56.500000,5.461885,0,A1
15:24:56.750000,5.465728,0,A1
15:24:57,5.454198,0,A1
15:24:57.250000,5.452917,0,A1
15:24:57.500000,5.451636,0,A1
15:24:57.750000,5.4413870000000015,0,A1
15:24:58,5.4413870000000015,0,A1
15:24:58.250000,5.431139,0,A1
15:24:58.500000,5.434982,0,A1
15:24:58.750000,5.422171,0,A1
15:24:59,5.439318,0,A1
15:24:59.250000,5.43035,0,A1
15:24:59.500000,5.418819999999998,0,A1
15:24:59.750000,5.417539,0,A1
15:25:00,5.408572,0,A1
15:25:00.250000,5.404728,0,A1
