EDA_Time,Measurement,TouchTag,SubjectID,,SubjectID,Average EDA,Max EDA
15:22:07,0.441926,0,B1,,,,
22:07.2,0.445769,0,B1,,,,
22:07.5,0.443207,0,B1,,,,
22:07.7,0.443207,0,B1,,,,
15:22:08,0.444488,0,B1,,,,
22:08.3,0.443207,0,B1,,,,
22:08.5,0.444488,0,B1,,,,
22:08.8,0.444488,0,B1,,,,
15:22:09,0.443207,0,B1,,,,
22:09.3,0.444488,0,B1,,,,
22:09.5,0.443207,0,B1,,,,
22:09.7,0.443207,0,B1,,,,
15:22:10,0.443207,0,B1,,,,
22:10.3,0.440645,0,B1,,,,
22:10.5,0.443207,0,B1,,,,
22:10.8,0.441926,0,B1,,,,
15:22:11,0.440645,0,B1,,,,
22:11.2,0.441926,0,B1,,,,
22:11.5,0.439364,0,B1,,,,
22:11.8,0.439364,0,B1,,,,
15:22:12,0.438083,0,B1,,,,
22:12.3,0.440645,0,B1,,,,
22:12.5,0.440645,0,B1,,,,
22:12.8,0.438083,0,B1,,,,
15:22:13,0.439364,0,B1,,,,
22:13.3,0.438083,0,B1,,,,
22:13.5,0.439364,0,B1,,,,
22:13.7,0.439364,0,B1,,,,
15:22:14,0.436802,0,B1,,,,
22:14.3,0.440645,0,B1,,,,
22:14.5,0.435521,0,B1,,,,
22:14.7,0.438083,0,B1,,,,
15:22:15,0.438083,0,B1,,,,
22:15.3,0.436802,0,B1,,,,
22:15.5,0.435521,0,B1,,,,
22:15.8,0.435521,0,B1,,,,
15:22:16,0.436802,0,B1,,,,
22:16.3,0.436802,0,B1,,,,
22:16.5,0.435521,0,B1,,,,
22:16.7,0.436802,0,B1,,,,
15:22:17,0.436802,0,B1,,,,
22:17.2,0.436802,0,B1,,,,
22:17.5,0.439364,0,B1,,,,
22:17.8,0.438083,0,B1,,,,
15:22:18,0.438083,0,B1,,,,
22:18.3,0.436802,0,B1,,,,
22:18.5,0.439364,0,B1,,,,
22:18.8,0.440645,0,B1,,,,
15:22:19,0.440645,0,B1,,,,
22:19.2,0.444488,0,B1,,,,
22:19.5,0.448331,0,B1,,,,
22:19.8,0.449612,0,B1,,,,
15:22:20,0.453455,0,B1,,,,
22:20.3,0.44705,0,B1,,,,
22:20.5,0.44705,0,B1,,,,
22:20.7,0.445769,0,B1,,,,
15:22:21,0.441926,0,B1,,,,
22:21.3,0.444488,0,B1,,,,
22:21.5,0.441926,0,B1,,,,
22:21.8,0.444488,0,B1,,,,
15:22:22,0.443207,0,B1,,,,
22:22.3,0.439364,0,B1,,,,
22:22.5,0.440645,0,B1,,,,
22:22.8,0.439364,0,B1,,,,
15:22:23,0.444488,0,B1,,,,
22:23.2,0.450893,0,B1,,,,
22:23.5,0.448331,0,B1,,,,
22:23.8,0.448331,0,B1,,,,
15:22:24,0.445769,0,B1,,,,
22:24.2,0.44705,0,B1,,,,
22:24.5,0.44705,0,B1,,,,
22:24.8,0.441926,0,B1,,,,
15:22:25,0.441926,0,B1,,,,
22:25.3,0.443207,0,B1,,,,
22:25.5,0.441926,0,B1,,,,
22:25.8,0.444488,0,B1,,,,
15:22:26,0.445769,0,B1,,,,
22:26.2,0.453455,0,B1,,,,
22:26.5,0.456017,0,B1,,,,
22:26.7,0.462421,0,B1,,,,
15:22:27,0.466264,0,B1,,,,
22:27.3,0.466264,0,B1,,,,
22:27.5,0.467545,0,B1,,,,
22:27.8,0.466264,0,B1,,,,
15:22:28,0.464983,0,B1,,,,
22:28.3,0.464983,0,B1,,,,
22:28.5,0.463702,0,B1,,,,
22:28.7,0.466264,0,B1,,,,
15:22:29,0.463702,0,B1,,,,
22:29.3,0.467545,0,B1,,,,
22:29.5,0.468826,0,B1,,,,
22:29.8,0.463702,0,B1,,,,
15:22:30,0.46114,0,B1,,,,
22:30.2,0.459859,0,B1,,,,
22:30.5,0.46114,0,B1,,,,
22:30.8,0.464983,0,B1,,,,
15:22:31,0.470107,0,B1,,,,
22:31.3,0.475231,0,B1,,,,
22:31.5,0.490602,0,B1,,,,
22:31.8,0.490602,0,B1,,,,
15:22:32,0.491883,0,B1,,,,
22:32.3,0.50085,0,B1,,,,
22:32.5,0.509816,0,B1,,,,
22:32.7,0.511097,0,B1,,,,
15:22:33,0.513659,0,B1,,,,
22:33.3,0.517502,0,B1,,,,
22:33.5,0.51494,0,B1,,,,
22:33.8,0.513659,0,B1,,,,
15:22:34,0.523907,0,B1,,,,
22:34.3,0.527749,0,B1,,,,
22:34.5,0.532873,0,B1,,,,
22:34.8,0.536716,0,B1,,,,
15:22:35,0.539278,0,B1,,,,
22:35.3,0.543121,0,B1,,,,
22:35.5,0.543121,0,B1,,,,
22:35.8,0.537997,0,B1,,,,
15:22:36,0.536716,0,B1,,,,
22:36.2,0.532873,0,B1,,,,
22:36.5,0.531592,0,B1,,,,
22:36.8,0.530311,0,B1,,,,
15:22:37,0.531592,0,B1,,,,
22:37.3,0.527749,0,B1,,,,
22:37.5,0.523907,0,B1,,,,
22:37.8,0.520064,0,B1,,,,
15:22:38,0.517502,0,B1,,,,
22:38.2,0.516221,0,B1,,,,
22:38.5,0.51494,0,B1,,,,
22:38.8,0.511097,0,B1,,,,
15:22:39,0.512378,0,B1,,,,
22:39.3,0.512378,0,B1,,,,
22:39.5,0.507254,0,B1,,,,
22:39.7,0.508535,0,B1,,,,
15:22:40,0.505973,0,B1,,,,
22:40.3,0.508535,0,B1,,,,
22:40.5,0.509816,0,B1,,,,
22:40.8,0.512378,0,B1,,,,
15:22:41,0.517502,0,B1,,,,
22:41.3,0.51494,0,B1,,,,
22:41.5,0.512378,0,B1,,,,
22:41.8,0.509816,0,B1,,,,
15:22:42,0.509816,0,B1,,,,
22:42.2,0.509816,0,B1,,,,
22:42.5,0.507254,0,B1,,,,
22:42.8,0.507254,0,B1,,,,
15:22:43,0.504692,0,B1,,,,
22:43.3,0.504692,0,B1,,,,
22:43.5,0.507254,0,B1,,,,
22:43.8,0.504692,0,B1,,,,
15:22:44,0.504692,0,B1,,,,
22:44.3,0.502131,0,B1,,,,
22:44.5,0.502131,0,B1,,,,
22:44.8,0.50085,0,B1,,,,
15:22:45,0.499569,0,B1,,,,
22:45.3,0.502131,0,B1,,,,
22:45.5,0.50085,0,B1,,,,
22:45.7,0.50085,0,B1,,,,
15:22:46,0.50085,0,B1,,,,
22:46.3,0.50085,0,B1,,,,
22:46.5,0.502131,0,B1,,,,
22:46.8,0.499569,0,B1,,,,
15:22:47,0.498288,0,B1,,,,
22:47.3,0.497007,0,B1,,,,
22:47.5,0.495726,0,B1,,,,
22:47.7,0.497007,0,B1,,,,
15:22:48,0.494445,0,B1,,,,
22:48.2,0.495726,0,B1,,,,
22:48.5,0.495726,0,B1,,,,
22:48.8,0.495726,0,B1,,,,
15:22:49,0.499569,0,B1,,,,
22:49.2,0.494445,0,B1,,,,
22:49.5,0.494445,0,B1,,,,
22:49.8,0.497007,0,B1,,,,
15:22:50,0.50085,0,B1,,,,
22:50.3,0.507254,0,B1,,,,
22:50.5,0.504692,0,B1,,,,
22:50.8,0.505973,0,B1,,,,
15:22:51,0.502131,0,B1,,,,
22:51.3,0.499569,0,B1,,,,
22:51.5,0.509816,0,B1,,,,
22:51.7,0.507254,0,B1,,,,
15:22:52,0.505973,0,B1,,,,
22:52.3,0.503411,0,B1,,,,
22:52.5,0.502131,0,B1,,,,
22:52.8,0.503411,0,B1,,,,
15:22:53,0.504692,0,B1,,,,
22:53.3,0.503411,0,B1,,,,
22:53.5,0.505973,0,B1,,,,
22:53.8,0.504692,0,B1,,,,
15:22:54,0.508535,0,B1,,,,
22:54.3,0.507254,0,B1,,,,
22:54.5,0.507254,0,B1,,,,
22:54.8,0.507254,0,B1,,,,
15:22:55,0.504692,0,B1,,,,
22:55.2,0.504692,0,B1,,,,
22:55.5,0.502131,0,B1,,,,
22:55.8,0.499569,0,B1,,,,
15:22:56,0.499569,0,B1,,,,
22:56.3,0.499569,0,B1,,,,
22:56.5,0.499569,0,B1,,,,
22:56.8,0.497007,0,B1,,,,
15:22:57,0.499569,0,B1,,,,
22:57.2,0.497007,0,B1,,,,
22:57.5,0.497007,0,B1,,,,
